cod_ine;CCAA;tam;periodo;total
17;La_Rioja;Total;2019;316.798
16;Pais_Vasco;Total;2019;2.207.776
15;Navarra;Total;2019;654.214
14;Murcia;Total;2019;1.493.898
19;Melilla;Total;2019;86.487
13;Madrid;Total;2019;6.663.394
12;Galicia;Total;2019;2.699.499
11;Extremadura;Total;2019;1.067.710
10;Valencia;Total;2019;5.003.769
18;Ceuta;Total;2019;84.777
09;Cataluña;Total;2019;7.675.217
07;Castilla_Leon;Total;2019;2.399.548
08;Castilla_La_Mancha;Total;2019;2.032.863
06;Cantabria;Total;2019;581.078
05;Canarias;Total;2019;2.153.389
04;Balears;Total;2019;1.149.460
03;Asturias;Total;2019;1.022.800
02;Aragón;Total;2019;1.319.291
01;Andalucía;Total;2019;8.414.240
