"autonomous_community","cod_ine","population","area","density",
"Andalucia","01",8414240,87600,96.0529680365297,
"Aragon","02",1319291,47700,27.6580922431866,
"Asturias","03",1022800,10600,96.4905660377358,
"Canarias","05",2153389,7450,289.045503355705,
"Cantabria","06",581078,5300,109.637358490566,
"Castilla_Leon","07",2399548,94200,25.4729087048832,
"Castilla_La_Mancha","08",2032863,79500,25.5706037735849,
"Cataluña","09",7675217,32100,239.103333333333,
"Valencia","10",5003769,23000,217.555173913043,
"Extremadura","11",1067710,41600,25.6661057692308,
"Galicia","12",2699499,29500,91.5084406779661,
"Madrid","13",6663394,8000,832.92425,
"Murcia","14",1493898,11300,132.203362831858,
"Navarra","15",654214,10400,62.9051923076923,
"Pais_Vasco","16",2207776,7250,304.520827586207,
"La_Rioja","17",316798,5050,62.7322772277228
